age,gender,education ,mental_illbeing_cause_1,mental_illbeing_cause_2,mental_illbeing_mechanism_1,mental_illbeing_mechanism_2,favorite_modern_feature_1,favorite_modern_feature_2,favorite_modern_feature_3,mothers_specific,fathers_specific,children_specific
19,male,college degree,childhood trauma,losing loved one,People who experience truama have a hard time expressing their emotions and leave them internalizing their problems. ,losing a loved one can trigger many mental health issues due to grief. ,phones,comfort food,social media,lack of social support,financial stress,education
23,male,college degree,poverty,losing a loved one,poverty can lead to financial stress.,losing a loved one can trigger many mental health issues due to grief. ,internet,tvs,toxic relationships,remaining thin,financial stress,social media
40,female,high school diploma,poverty,unemployment,Poverty can lead to financial stress.,Unemployment poses as a threat to survival and financial stability. ,computers,cars,video games,work-life balance,work-related stress,bullying
50,female,high school diploma,losing a loved one,abuse,losing a loved one can trigger many mental health issues due to grief. ,abuse in any shape or form can have drastic physical or mental effects on an individual,video games,cameras,social media,work-life balance,marital problems,cyberbullying
23,male,some college,unemployment,substance abuse,Unemployment poses as a threat to survival and financial stability. ,Substance Abuse can lead to a reliance on drugs and alcohol and can have negative effects on the brain. ,phones,video games,junk food,feeling the need to be perfect,financial stress,isolation
16,male,some college,relationship abuse,childhood trauma,abuse enddured in toxic relationship can damage individuals,People who experience truama have a hard time expressing their emotions and leave them internalizing their problems. ,internet,phones,social media,weigh gain,bad children,pressure from parents
57,male,some college,substance abuse,isolation,Substance Abuse can lead to a reliance on drugs and alcohol and can have negative effects on the brain. ,loneliness can lead to depression because they have no one to talk to. ,cameras,computers,cyberbullying,raising kids,work-related stress,family conflict
60,female,some college,poverty,broken household,Poverty can lead to financial stress.,people that come from broken homes can have trust issues and other issues,cars,laptops,unrealistic expectations,lack of social support,marital problems,bullying
22,female,some college,education,isolation,An overwhelming amount of work can lead to stress or poor grades can lead to depression. ,loneliness can lead to depression because they have no one to talk to. ,cars,phones,politics,bad children,financial stress,pressure from parents
21,male,some college,losing a loved one,domestic violence,losing a loved one can trigger many mental health issues due to grief. ,domestic violence harms the indiviual mentally and physically ,internet,tvs,alcohol & drugs,work-life balance,financial stress,family conflict
